city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Galion,Galion,40.7385,-82.7792,United States,US,USA,Ohio,,10378.0,1840002752
Plymouth,Plymouth,41.3483,-86.3187,United States,US,USA,Indiana,,10369.0,1840014170
Alexandria,Alexandria,38.9621,-84.3859,United States,US,USA,Kentucky,,10322.0,1840013162
London,London,39.8935,-83.4375,United States,US,USA,Ohio,,10316.0,1840000674
Versailles,Versailles,38.0486,-84.7258,United States,US,USA,Kentucky,,10297.0,1840015212
Tipp City,Tipp City,39.9644,-84.1866,United States,US,USA,Ohio,,10266.0,1840010507
Whitestown,Whitestown,39.9706,-86.3612,United States,US,USA,Indiana,,10253.0,1840010514
Kendallville,Kendallville,41.4441,-85.2578,United States,US,USA,Indiana,,10176.0,1840008208
Paris,Paris,38.2016,-84.2718,United States,US,USA,Kentucky,,10143.0,1840014315
Franklin,Franklin,36.7177,-86.5595,United States,US,USA,Kentucky,,10141.0,1840013290
Cambridge,Cambridge,40.0221,-81.5869,United States,US,USA,Ohio,,10087.0,1840007259
La Grange,La Grange,38.3987,-85.375,United States,US,USA,Kentucky,,10073.0,1840014287
Struthers,Struthers,41.051,-80.592,United States,US,USA,Ohio,,10061.0,1840003562
Oakbrook,Oakbrook,38.9996,-84.6797,United States,US,USA,Kentucky,,10045.0,1840030814
Francisville,Francisville,39.1068,-84.7277,United States,US,USA,Kentucky,,10044.0,1840026679
Mayfield,Mayfield,36.7371,-88.6447,United States,US,USA,Kentucky,,10011.0,1840015268
Willoughby Hills,Willoughby Hills,41.5873,-81.4333,United States,US,USA,Ohio,,9972.0,1840000548
East Liverpool,East Liverpool,40.6333,-80.5677,United States,US,USA,Ohio,,9969.0,1840002783
Sellersburg,Sellersburg,38.4028,-85.7706,United States,US,USA,Indiana,,9948.0,1840010786
Beckett Ridge,Beckett Ridge,39.3448,-84.438,United States,US,USA,Ohio,,9880.0,1840034377
Wapakoneta,Wapakoneta,40.5664,-84.1916,United States,US,USA,Ohio,,9879.0,1840010391
Greencastle,Greencastle,39.6432,-86.8418,United States,US,USA,Indiana,,9865.0,1840008439
Decatur,Decatur,40.8286,-84.9277,United States,US,USA,Indiana,,9718.0,1840007177
North College Hill,North College Hill,39.2175,-84.552,United States,US,USA,Ohio,,9602.0,1840001609
Middletown,Middletown,38.241,-85.5214,United States,US,USA,Kentucky,,9594.0,1840014295
Girard,Girard,41.1665,-80.6963,United States,US,USA,Ohio,,9565.0,1840008239
Lincoln Village,Lincoln Village,39.9532,-83.1314,United States,US,USA,Ohio,,9553.0,1840034388
Mooresville,Mooresville,39.6022,-86.3681,United States,US,USA,Indiana,,9525.0,1840009668
Bargersville,Bargersville,39.5412,-86.2004,United States,US,USA,Indiana,,9520.0,1840009569
Louisville,Louisville,40.837,-81.2643,United States,US,USA,Ohio,,9500.0,1840000964
Oakwood,Oakwood,39.7202,-84.1734,United States,US,USA,Ohio,,9496.0,1840003785
Columbia City,Columbia City,41.1612,-85.4855,United States,US,USA,Indiana,,9478.0,1840007140
Madeira,Madeira,39.1856,-84.3734,United States,US,USA,Ohio,,9426.0,1840001605
Middlesborough,Middlesborough,36.6127,-83.7227,United States,US,USA,Kentucky,,9383.0,1840036079
Canal Winchester,Canal Winchester,39.8437,-82.8126,United States,US,USA,Ohio,,9357.0,1840010524
Angola,Angola,41.6433,-85.005,United States,US,USA,Indiana,,9317.0,1840007084
Elsmere,Elsmere,38.9948,-84.6017,United States,US,USA,Kentucky,,9126.0,1840013167
McCordsville,McCordsville,39.8966,-85.9208,United States,US,USA,Indiana,,9098.0,1840009526
Huntertown,Huntertown,41.2185,-85.1705,United States,US,USA,Indiana,,9090.0,1840010297
Harrodsburg,Harrodsburg,37.7654,-84.8474,United States,US,USA,Kentucky,,9057.0,1840013222
Blacklick Estates,Blacklick Estates,39.9049,-82.8655,United States,US,USA,Ohio,,9010.0,1840034379
Sheffield Lake,Sheffield Lake,41.4883,-82.0979,United States,US,USA,Ohio,,8958.0,1840000647
Napoleon,Napoleon,41.3977,-84.1244,United States,US,USA,Ohio,,8888.0,1840008242
Maysville,Maysville,38.6455,-83.7911,United States,US,USA,Kentucky,,8831.0,1840015180
Bainbridge,Bainbridge,41.3855,-81.3478,United States,US,USA,Ohio,,8808.0,1840152715
Perry Heights,Perry Heights,40.7977,-81.468,United States,US,USA,Ohio,,8762.0,1840005201
Wyoming,Wyoming,39.2297,-84.4816,United States,US,USA,Ohio,,8720.0,1840001619
Cheviot,Cheviot,39.1577,-84.6139,United States,US,USA,Ohio,,8682.0,1840003813
Hillview,Hillview,38.0562,-85.6847,United States,US,USA,Kentucky,,8681.0,1840014325
Olmsted Falls,Olmsted Falls,41.3657,-81.9038,United States,US,USA,Ohio,,8670.0,1840003404
Bryan,Bryan,41.4706,-84.5483,United States,US,USA,Ohio,,8670.0,1840000573
Fort Mitchell,Fort Mitchell,39.046,-84.5562,United States,US,USA,Kentucky,,8667.0,1840013170
Fort Knox,Fort Knox,37.8915,-85.9636,United States,US,USA,Kentucky,,8655.0,1840073833
Highland Heights,Highland Heights,41.5518,-81.4691,United States,US,USA,Ohio,,8652.0,1840000605
Corbin,Corbin,36.9323,-84.1006,United States,US,USA,Kentucky,,8611.0,1840014405
Remote,Remote,,,United States,US,USA,Virtual,,,REMOTE001
Virtual,Virtual,,,United States,US,USA,Virtual,,,REMOTE002
Work from Home,Work from Home,,,United States,US,USA,Virtual,,,REMOTE003
Telework,Telework,,,United States,US,USA,Virtual,,,REMOTE004
Hybrid,Hybrid,,,United States,US,USA,Virtual,,,REMOTE005
